Ewondo,English,français
nló ndá bod,head of the family,le chef de famille
emvám / bimvám,"grandparents, ancestors","les grands-parents, les ancêtres"
emvám fám,grandfather,"le grand-père, papy"
emvám miníngá,grandmother,"la grand-mère, mamie"
"esia, esya, pəpá","father, dad","le père, papa"
"nyiá, mama","mother, mom","la mère, maman"
fám,man,l'homme
miníngá / biníngá,woman / women,femme(s)
nyia miníngá,adult woman,la femme adulte
nnóm,husband,"l'époux, le mari"
ngál,"wife, spouse",l'épouse
minkoe,bachelors,les célibataires
benyiandomo,uncles,les oncles
esenga,aunt,la tante
man kál,"nephew, niece","le neveu, la nièce"
manyaŋ / babenyaŋ,"brother of a boy,
sister of a girl","le frère d'un garçon,
la sœur d'une fille"
ndóm,brother of a girl,le frère d'une fille
kál / bəkál,sister of a boy,la sœur d'un garçon
mɔngɔ / bɔngɔ,child / children,enfant(s)
man mɔngɔ,little child,le petit enfant
man fám,boy,"le garçon, le fils"
man miníngá,girl,la fille
ndómán,son,le fils
ngɔn,daughter,la fille de
mon,baby,le bébé
"abiali, abyali",birth,la naissance
abanda,to invite,inviter
bihenk,guests,les invités
mvoe / bemvoe,friend(s),"ami(s), amie(s)"
amvoe,friendship,l'amitié
nziziŋ,"enemy, (foe)",l'ennemi
"mòd, [mòt]
bòd, [bòt]","person
people","la personne
les gens"
