Ewondo,English,français
adzem,"dancing, dance","la danse, danser"
esani,funeral dance,la danse funèbre
mesiŋ,wrestling,la lutte
á wulu ávol,to walk quickly,marcher vite
á wulu ótətəg,to walk slowly,marcher lentement
"mə awulu, mawulu",I walk,je marche
á wulu mbil,to run,courir
nsəŋ,courtyard,la cour
nsəŋ ndamba,stadium,"le stade,
[litt. ""cour du ballon""]"
"ndamba, ebumá",ball,"le ballon, la balle"
futbal,soccer,le football
stade,stadium,le stade
ngam,team,l'équipe
nlan mengoe,referee,l'arbitre
zingi,,le champion
,swimming pool,la piscine
,"swimming
swimmer","la natation, la nage
le nageur"
"sailor, seaman",le marin,
"alog, [alok]
 ","fishing
fisherman","la pêche
le pêcheur"
"nsom
 ","hunting
hunter","la chasse
le chasseur"
