Ewondo,English,français
mod dzal,mayor,"le maire,
le chef de village"
ehedeman,headman,le chef de tribu
Zambá,God,Dieu
"ndá Zambá, eglesia",church,l'église
"tsɔs, mɛs",mass,la messe
klos,cross,la croix
kristen,christian,chrétien
háíden,pagan,le païen
Pábs,Pope,le Pape
"bisòb, [bisòp]",bishop,l'évêque
"fada / befada,
(fara / befara)",priest(s),prêtre(s)
bulada,religious brother,le frère religieux
sixa,nun,"la ""sœur"", la nonne"
moske,mosque,la mosquée
watele,hotel,l'hôtel
kofí,coffee house,"le café, le bar"
kugu,cook,le cuisinier
ndá bidí,,le restaurant
kantin,canteen,la cantine
"sikúlu, (sukúlu)",school,l'école
mɔngɔ sikúlu,"schoolboy, scholar",l'écolier
nyege sikúlu,student,l'étudiant
eyegele,"teacher, professor",le professeur
,"journalist(s), reporter(s)",journaliste(s)
,newspaper(s),le journal / les journaux
,dictionary,le dictionnaire
"kalada / bəkalada,
(kalara / bəkalara)",book(s),livre(s)
kaye,notebook,le cahier
efatsila,"shop, store","la boutique, le magasin"
a kuan,to sell,vendre
nkuan,"seller, salesman",le vendeur
nkus,"buyer, purchaser",l'acheteur
"makid, [makit]",market,le marché
sinema,cinema,le cinéma
"muzig, [muzik]",music,la musique
nkúl,,le tam-tam
andzáŋ / məndzáŋ,,balafon(s)
engómbi,accordion,"l'accordéon, le piano"
nsaŋ bəkalara,secretary,la secrétaire
asaŋ,to sign,signer
wafis,office,le bureau [immeuble]
buro,desk,le bureau [meuble]
baŋ,"bank
banker","la banque
le banquier"
chek,cheque,le chèque
,"banknote(s), bill(s)",billet(s) de banque
mòni,money,"l'argent, les sous"
,brothel,le bordel
,prostitute(s),prostituée(s)
,"beggar
[female]","le mendiant
la mendiante"
"nwúwúb, [nwúwúp]","thief, robber",le voleur
mane bezimbi,policeman,le policier
komsafulus,,le commissaire de police
fulús,,la police
gendarmeri,,la gendarmerie
mimbog,"prison, jail",la prison
"mbog, [mbok]",prisoner,le prisonnier
,"graveyard, cemetery",le cimetière
,"grave(s), tomb(s)",tombe(s)
,"gravestone, tombstone",la pierre tombale
nwu / bewu,dead person/people,mort(s)
kon / bekon,ghost(s),fantôme(s)
"edzedzala, dzal / mal ",town,ville
