Ewondo,English,français
sa,plum,la prune
bivouvoula,black cherries,les cerises noires
mvud,raspberry,la framboise
kome,hazelnut,la noisette
"kola, góro, âbel",kolanut,la noix de cola
bitôn,palm nut,la noix de palme
owondo,peanuts,"l'arachide, les cacahuètes"
,coconut,la noix de coco
ofumbi,,l'orange
ofumbi beti,lemon,le citron
nyos / minyos,lime(s),citron(s) vert(s)
"zəg, [zək]",pineapple,l'ananas
"akɔn / bikɔn

afúb bikɔn","banana(s)

banana pantation","banane(s) plantain(s)

la bananeraie"
"mangolo

andòg","mango

mango tree","la mangue

le manguier"
afel,guava,la goyave
fofó(lo),"papaya, pawpaw",la papaye
"ebɔm, sabosabo",soursop,le corossol
