Ewondo,English,français
,garlic,l'ail
ayaŋ,onion,l'oignon
,leek,le poireau
"hiá, (viá)",mushroom,le champignon
,spinach,les épinards
salade,"salad, lettuce","la salade, la laitue"
,cabbage,le chou
abɔg,pumpkin,la citrouille
ngɔn,"marrow, squash",la courge
,"sweet pepper, bell pepper",le poivron
,"hot pepper, chili pepper",le piment
etətám / betətám,okra(s),gombo(s)
kón,beans,les haricots
nyáda,chickpeas,les pois chiches
fón,"corn, maize",le maïs
olɛs,rice,le riz
ekodo / bikodo,yam(s),igname(s)
kpəm,mashed cassava,"la purée de manioc,
les feuilles de manioc"
ngali,,le tapioca
akaba / məkaba,purple taro,le macabo
fía,avocado,l'avocat
ndole,vegetable, les légumes
