Ewondo,English,français
"man onɔn, otonɔn",little bird,le petit oiseau
odu,red-billed weaver,l'oiseau mange-mil
dumba / mumba,nest(s),nid(s)
támbá,feather,la plume
afab (me),wing,l'aile
ndoe,eagle,l'aigle
obam,sparrowhawk,l'épervier
"dzum, mum",vulture,le vautour
akuŋ,owl,"le hibou, la chouette"
dugu / bedugu,magpie(s),pie(s)
okpal,partridge,la perdrix
zum,guinea fowl,la pintade
"kúb, [kúp]","rooster, cock",le coq
kúb dzia,hen,la poule
eyel (bi),chick,le poussin
elɔli,duck,"le canard, la cane"
,goose,l'oie
